caseid,Age_group,Sex,Province,Household_size,Find_job,Further_schooling,Morejob,Activity,Media,Stress
4706,75 years and over,Female,Ontario,One household member,notask,No,None,Sometime,Sometime,0
4707,15 to 24,Male,Ontario,Three household members,notask,No,None,Sometime,Sometime,1
4708,15 to 24,Male,Prince Edward Island,Two household members,notask,Yes,None,No time,Sometime,0
4709,35 to 44,Male,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,Sometime,1
4710,55 to 64,Male,New Brunswick,Two household members,notask,Yes,None,No time,Sometime,0
4711,45 to 54,Male,British Columbia,Five household members,asked,Yes,None,Sometime,Sometime,1
4712,75 years and over,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
4713,45 to 54,Male,Nova Scotia,Two household members,asked,Yes,None,Sometime,Sometime,0
4714,45 to 54,Female,Ontario,One household member,notask,No,None,Sometime,Sometime,0
4716,65 to 74,Male,Manitoba,Two household members,notask,Yes,None,No time,Sometime,0
4717,55 to 64,Female,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,0
4718,25 to 34,Female,Alberta,Three household members,notask,Yes,None,No time,Sometime,1
4719,25 to 34,Female,Alberta,Five household members,notask,Yes,None,No time,No time,0
4720,15 to 24,Male,Ontario,Four household members,asked,Yes,None,No time,Sometime,1
4721,45 to 54,Male,Alberta,Two household members,notask,No,None,Sometime,Sometime,1
4722,45 to 54,Female,Ontario,Five household members,notask,Yes,Yes,Sometime,Sometime,0
4723,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
4724,25 to 34,Male,Nova Scotia,Two household members,notask,Yes,None,Sometime,No time,1
4725,75 years and over,Male,Alberta,One household member,notask,No,None,Sometime,Sometime,0
4726,35 to 44,Male,Manitoba,Two household members,notask,No,None,Sometime,Sometime,0
4727,65 to 74,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
4728,35 to 44,Male,Manitoba,Four household members,notask,Yes,None,No time,Sometime,0
4729,15 to 24,Male,New Brunswick,Five household members,notask,No,None,Sometime,Sometime,0
4730,75 years and over,Male,Nova Scotia,One household member,notask,No,None,No time,Sometime,0
4731,15 to 24,Male,Ontario,Five household members,asked,No,None,Sometime,Sometime,1
4732,15 to 24,Male,Ontario,Four household members,notask,No,None,Sometime,Sometime,1
4733,25 to 34,Male,Alberta,Four household members,notask,Yes,None,Sometime,Sometime,1
4734,55 to 64,Male,Ontario,Three household members,notask,Yes,Yes,Sometime,Sometime,0
4735,45 to 54,Female,British Columbia,One household member,notask,No,None,No time,Sometime,0
4736,55 to 64,Male,British Columbia,One household member,notask,Yes,None,No time,Sometime,0
4737,15 to 24,Male,Nova Scotia,Three household members,notask,No,None,No time,Sometime,0
4738,35 to 44,Female,Ontario,Six household members or more,notask,Yes,None,Sometime,Sometime,1
4739,65 to 74,Male,Ontario,Two household members,asked,Yes,None,No time,Sometime,1
4740,65 to 74,Male,Alberta,One household member,notask,No,None,No time,Sometime,0
4741,25 to 34,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
4742,25 to 34,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
4743,45 to 54,Male,New Brunswick,One household member,notask,Yes,None,Sometime,No time,1
4744,55 to 64,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
4745,15 to 24,Female,New Brunswick,Two household members,notask,No,None,No time,Sometime,1
4746,65 to 74,Female,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,1
4747,55 to 64,Male,Prince Edward Island,One household member,notask,No,None,Sometime,Sometime,0
4748,65 to 74,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
4749,55 to 64,Female,Newfoundland and Labrador,One household member,notask,Yes,None,No time,Sometime,1
4750,55 to 64,Female,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,1
4751,45 to 54,Female,Quebec,Two household members,notask,No,None,No time,Sometime,0
4752,25 to 34,Female,Ontario,Four household members,asked,Yes,None,Sometime,Sometime,0
4753,75 years and over,Male,Saskatchewan,Two household members,notask,No,None,Sometime,Sometime,0
4754,65 to 74,Female,Newfoundland and Labrador,Two household members,notask,No,None,Sometime,Sometime,0
4755,65 to 74,Female,New Brunswick,Two household members,notask,No,None,Sometime,Sometime,1
4756,35 to 44,Female,Ontario,One household member,notask,Yes,None,Sometime,No time,0
4757,75 years and over,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4758,35 to 44,Female,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,1
4759,25 to 34,Female,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,1
4760,35 to 44,Female,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
4761,55 to 64,Male,Alberta,Two household members,notask,No,None,No time,Sometime,1
4762,55 to 64,Female,Saskatchewan,One household member,notask,Yes,None,No time,Sometime,0
4763,35 to 44,Male,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
4764,35 to 44,Male,Manitoba,One household member,notask,Yes,None,Sometime,Sometime,1
4765,35 to 44,Female,Saskatchewan,Three household members,notask,No,None,Sometime,Sometime,0
4766,55 to 64,Male,Alberta,Three household members,notask,Yes,None,Sometime,Sometime,0
4767,15 to 24,Male,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
4768,65 to 74,Male,British Columbia,One household member,notask,No,None,Sometime,Sometime,1
4769,45 to 54,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
4770,25 to 34,Female,Ontario,Three household members,notask,Yes,None,No time,Sometime,1
4771,25 to 34,Male,Saskatchewan,Three household members,notask,No,None,Sometime,Sometime,0
4772,75 years and over,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
4773,45 to 54,Male,Ontario,Four household members,notask,No,None,No time,Sometime,1
4774,15 to 24,Female,Saskatchewan,Four household members,notask,No,None,No time,Sometime,0
4775,55 to 64,Female,Manitoba,Two household members,notask,No,None,Sometime,Sometime,0
4776,25 to 34,Male,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
4778,45 to 54,Female,Ontario,Five household members,notask,Yes,Yes,No time,Sometime,0
4779,55 to 64,Male,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,0
4780,35 to 44,Female,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,1
4781,55 to 64,Female,Prince Edward Island,Two household members,notask,Yes,None,Sometime,Sometime,0
4782,65 to 74,Male,Nova Scotia,One household member,notask,Yes,None,No time,Sometime,0
4783,65 to 74,Male,Nova Scotia,One household member,notask,Yes,None,No time,Sometime,0
4784,55 to 64,Male,Manitoba,Two household members,notask,Yes,None,No time,Sometime,0
4785,55 to 64,Male,British Columbia,Five household members,notask,Yes,None,Sometime,Sometime,1
4786,45 to 54,Male,Newfoundland and Labrador,One household member,notask,Yes,None,No time,No time,1
4787,25 to 34,Female,Nova Scotia,Three household members,notask,Yes,None,No time,Sometime,1
4788,55 to 64,Male,Quebec,One household member,notask,Yes,None,No time,Sometime,0
4789,65 to 74,Male,Quebec,Two household members,notask,Yes,None,No time,Sometime,0
4790,65 to 74,Female,New Brunswick,Two household members,notask,Yes,None,No time,Sometime,0
4792,65 to 74,Female,Saskatchewan,Two household members,notask,Yes,None,No time,Sometime,1
4793,65 to 74,Female,Quebec,Three household members,notask,No,None,No time,Sometime,0
4794,65 to 74,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
4795,55 to 64,Female,British Columbia,One household member,notask,No,None,No time,Sometime,0
4796,25 to 34,Male,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,1
4797,25 to 34,Female,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,1
4798,25 to 34,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4799,75 years and over,Male,Ontario,One household member,notask,Yes,None,No time,Sometime,0
4800,35 to 44,Female,Nova Scotia,One household member,notask,Yes,None,No time,Sometime,0
4801,75 years and over,Female,British Columbia,One household member,notask,No,None,No time,Sometime,1
4802,25 to 34,Female,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,0
4803,75 years and over,Female,British Columbia,One household member,notask,No,None,Sometime,Sometime,0
4804,65 to 74,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
4805,25 to 34,Male,British Columbia,Four household members,notask,Yes,None,Sometime,Sometime,0
4806,65 to 74,Female,Prince Edward Island,Two household members,notask,No,None,Sometime,Sometime,0
4807,65 to 74,Female,British Columbia,Two household members,notask,No,None,No time,Sometime,0
4808,35 to 44,Male,Manitoba,Four household members,notask,Yes,None,Sometime,Sometime,1
4809,35 to 44,Male,Nova Scotia,Three household members,notask,Yes,None,No time,No time,1
4810,55 to 64,Female,Quebec,Two household members,notask,No,None,Sometime,Sometime,1
4811,15 to 24,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
4812,75 years and over,Female,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
4813,65 to 74,Female,Ontario,Two household members,notask,No,None,No time,Sometime,0
4814,15 to 24,Male,Quebec,Four household members,notask,Yes,None,No time,Sometime,0
4815,25 to 34,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,0
4816,55 to 64,Male,Ontario,Two household members,notask,Yes,Yes,Sometime,Sometime,0
4817,45 to 54,Female,Alberta,Two household members,notask,Yes,None,No time,No time,1
4818,45 to 54,Female,Nova Scotia,One household member,notask,No,None,Sometime,No time,0
4819,45 to 54,Male,Manitoba,Two household members,notask,No,None,Sometime,Sometime,1
4820,55 to 64,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
4821,45 to 54,Male,Alberta,One household member,notask,No,None,Sometime,No time,0
4822,65 to 74,Male,Saskatchewan,Two household members,notask,Yes,None,No time,Sometime,0
4823,25 to 34,Male,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
4824,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
4825,15 to 24,Male,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,0
4827,35 to 44,Male,Newfoundland and Labrador,Three household members,notask,Yes,None,No time,No time,0
4828,55 to 64,Male,Saskatchewan,One household member,notask,No,None,No time,Sometime,1
4829,75 years and over,Female,Ontario,One household member,notask,No,None,No time,Sometime,0
4830,75 years and over,Male,New Brunswick,Two household members,notask,No,None,Sometime,Sometime,0
4831,15 to 24,Male,Alberta,Four household members,notask,No,None,Sometime,No time,1
4832,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
4833,35 to 44,Male,Quebec,Four household members,notask,No,Yes,Sometime,Sometime,0
4834,55 to 64,Male,Manitoba,Four household members,notask,No,None,No time,Sometime,0
4835,75 years and over,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
4836,25 to 34,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4837,65 to 74,Male,New Brunswick,One household member,notask,No,None,Sometime,Sometime,1
4838,25 to 34,Female,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,1
4839,75 years and over,Female,British Columbia,Two household members,notask,Yes,None,Sometime,No time,0
4840,15 to 24,Male,Quebec,Three household members,notask,No,None,No time,Sometime,0
4841,35 to 44,Male,Ontario,Four household members,notask,Yes,Yes,No time,No time,0
4842,15 to 24,Female,Ontario,Five household members,asked,No,None,Sometime,Sometime,1
4843,35 to 44,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,1
4844,45 to 54,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
4845,35 to 44,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
4846,65 to 74,Male,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
4847,45 to 54,Male,New Brunswick,Two household members,notask,Yes,None,No time,Sometime,0
4848,35 to 44,Male,Prince Edward Island,Two household members,notask,Yes,None,Sometime,Sometime,0
4849,45 to 54,Male,Newfoundland and Labrador,One household member,notask,Yes,None,No time,Sometime,1
4850,25 to 34,Male,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,0
4851,55 to 64,Female,Prince Edward Island,One household member,notask,Yes,None,Sometime,Sometime,1
4852,45 to 54,Male,Ontario,Five household members,asked,Yes,None,Sometime,Sometime,1
4853,45 to 54,Female,Manitoba,One household member,notask,Yes,None,No time,Sometime,1
4854,65 to 74,Female,Manitoba,Two household members,notask,No,None,Sometime,Sometime,0
4855,25 to 34,Female,British Columbia,Four household members,notask,No,Yes,Sometime,No time,1
4856,55 to 64,Female,Prince Edward Island,Two household members,notask,No,None,Sometime,Sometime,1
4857,25 to 34,Male,Newfoundland and Labrador,Four household members,notask,Yes,None,No time,Sometime,0
4858,25 to 34,Female,Alberta,Two household members,notask,Yes,None,No time,Sometime,1
4859,75 years and over,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,0
4860,15 to 24,Female,Alberta,Four household members,asked,No,None,No time,Sometime,0
4861,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
4862,65 to 74,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,0
4863,65 to 74,Male,Quebec,One household member,notask,No,None,Sometime,No time,0
4864,55 to 64,Female,Saskatchewan,Two household members,notask,Yes,None,No time,No time,1
4865,25 to 34,Male,Quebec,Two household members,notask,Yes,None,No time,Sometime,0
4866,55 to 64,Female,Nova Scotia,Two household members,notask,Yes,None,Sometime,Sometime,1
4867,45 to 54,Female,British Columbia,Three household members,notask,No,None,No time,Sometime,0
4868,65 to 74,Female,Quebec,Two household members,notask,No,None,No time,Sometime,0
4869,55 to 64,Male,Nova Scotia,Two household members,notask,Yes,Yes,No time,Sometime,0
4870,45 to 54,Female,Saskatchewan,Three household members,notask,No,None,No time,Sometime,1
4871,35 to 44,Male,Ontario,Six household members or more,asked,Yes,None,No time,Sometime,0
4872,55 to 64,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
4873,35 to 44,Female,Ontario,One household member,notask,No,None,No time,Sometime,1
4874,55 to 64,Female,Newfoundland and Labrador,Two household members,notask,No,None,No time,Sometime,1
4875,55 to 64,Female,Alberta,Two household members,notask,No,None,Sometime,Sometime,1
4876,25 to 34,Female,Alberta,Two household members,notask,Yes,Yes,Sometime,Sometime,1
4877,65 to 74,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
4878,65 to 74,Male,Manitoba,One household member,notask,No,None,Sometime,Sometime,0
4879,65 to 74,Female,Manitoba,Two household members,notask,No,None,No time,Sometime,0
4880,65 to 74,Female,Saskatchewan,One household member,notask,No,None,Sometime,Sometime,0
4881,55 to 64,Female,British Columbia,One household member,notask,No,None,No time,Sometime,0
4882,15 to 24,Male,Prince Edward Island,Four household members,notask,No,None,No time,Sometime,0
4883,45 to 54,Female,Quebec,Two household members,notask,Yes,None,No time,No time,1
4884,45 to 54,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
4885,25 to 34,Female,Prince Edward Island,Four household members,notask,No,None,Sometime,Sometime,1
4886,65 to 74,Female,Ontario,One household member,notask,No,None,Sometime,Sometime,1
4887,15 to 24,Female,British Columbia,Six household members or more,notask,Yes,None,Sometime,Sometime,1
4888,25 to 34,Male,New Brunswick,Three household members,notask,Yes,Yes,No time,Sometime,0
4889,45 to 54,Female,Newfoundland and Labrador,One household member,notask,Yes,None,No time,Sometime,0
4890,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,No time,1
4891,55 to 64,Male,Ontario,One household member,notask,Yes,None,Sometime,Sometime,0
4892,65 to 74,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4893,45 to 54,Male,Ontario,Four household members,notask,No,None,No time,Sometime,0
4894,45 to 54,Female,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,0
4895,45 to 54,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
4896,45 to 54,Female,Newfoundland and Labrador,Two household members,notask,Yes,None,No time,Sometime,1
4897,35 to 44,Male,Alberta,One household member,notask,Yes,None,No time,Sometime,1
4898,35 to 44,Female,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,1
4899,25 to 34,Female,British Columbia,Four household members,notask,Yes,None,No time,Sometime,1
4900,25 to 34,Male,Ontario,Four household members,notask,Yes,None,Sometime,Sometime,0
4901,55 to 64,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
4902,75 years and over,Female,Ontario,One household member,notask,No,None,Sometime,Sometime,0
4903,25 to 34,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
4904,25 to 34,Female,Nova Scotia,Two household members,notask,No,None,No time,Sometime,1
4905,25 to 34,Female,Manitoba,Three household members,notask,Yes,None,No time,No time,1
4906,45 to 54,Male,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,1
4908,35 to 44,Male,Ontario,Four household members,notask,Yes,None,No time,No time,1
4909,55 to 64,Female,Saskatchewan,Two household members,notask,No,None,No time,Sometime,1
4910,45 to 54,Male,Alberta,Four household members,notask,Yes,None,Sometime,Sometime,1
4911,55 to 64,Male,Alberta,Three household members,notask,No,None,Sometime,Sometime,0
4912,25 to 34,Male,Quebec,Two household members,asked,Yes,None,Sometime,Sometime,1
4913,75 years and over,Female,New Brunswick,Two household members,notask,Yes,None,Sometime,Sometime,0
4914,25 to 34,Female,Ontario,Two household members,notask,Yes,None,No time,Sometime,1
4915,65 to 74,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
4916,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,Sometime,No time,0
4917,45 to 54,Female,British Columbia,Three household members,notask,Yes,None,No time,Sometime,1
4918,45 to 54,Female,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
4919,45 to 54,Female,Ontario,One household member,notask,No,None,No time,Sometime,1
4920,35 to 44,Male,Nova Scotia,Three household members,notask,Yes,None,No time,Sometime,0
4921,75 years and over,Female,Saskatchewan,Two household members,notask,No,None,Sometime,Sometime,0
4922,45 to 54,Female,British Columbia,Three household members,notask,Yes,None,No time,Sometime,1
4923,25 to 34,Male,British Columbia,Five household members,notask,Yes,None,No time,No time,1
4924,35 to 44,Male,Ontario,Four household members,notask,Yes,None,No time,Sometime,0
4925,45 to 54,Female,Newfoundland and Labrador,Two household members,notask,Yes,None,Sometime,Sometime,0
4926,65 to 74,Male,Quebec,Two household members,notask,Yes,None,Sometime,Sometime,0
4927,65 to 74,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
4928,55 to 64,Female,Manitoba,Two household members,notask,No,None,Sometime,Sometime,1
4929,15 to 24,Male,New Brunswick,Four household members,asked,No,None,Sometime,Sometime,1
4930,65 to 74,Male,British Columbia,One household member,notask,No,None,No time,Sometime,0
4931,45 to 54,Male,Ontario,Four household members,notask,Yes,None,No time,Sometime,1
4932,25 to 34,Female,Manitoba,Five household members,asked,No,None,Sometime,Sometime,1
4933,65 to 74,Male,British Columbia,One household member,notask,Yes,None,Sometime,Sometime,0
4934,25 to 34,Female,Manitoba,Three household members,notask,Yes,None,Sometime,Sometime,0
4935,35 to 44,Female,Saskatchewan,Four household members,notask,Yes,None,No time,Sometime,1
4936,45 to 54,Female,Nova Scotia,Two household members,notask,Yes,None,No time,No time,1
4937,75 years and over,Male,Ontario,One household member,notask,No,None,No time,Sometime,0
4938,25 to 34,Female,British Columbia,One household member,notask,Yes,Yes,No time,Sometime,1
4939,75 years and over,Male,Ontario,One household member,notask,No,None,No time,Sometime,0
4940,45 to 54,Male,Ontario,Three household members,notask,Yes,None,No time,No time,1
4941,65 to 74,Male,Nova Scotia,Two household members,notask,No,None,Sometime,Sometime,0
4942,45 to 54,Male,Ontario,Four household members,notask,No,None,No time,Sometime,1
4943,45 to 54,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4944,55 to 64,Female,Quebec,One household member,notask,Yes,None,No time,Sometime,1
4945,35 to 44,Female,Newfoundland and Labrador,Two household members,notask,No,None,No time,Sometime,1
4946,75 years and over,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
4947,25 to 34,Male,Ontario,Two household members,notask,Yes,None,No time,Sometime,0
4948,15 to 24,Female,Nova Scotia,Three household members,notask,No,None,No time,No time,0
4949,55 to 64,Female,British Columbia,One household member,notask,Yes,None,No time,Sometime,0
4951,65 to 74,Female,British Columbia,Two household members,notask,No,None,Sometime,Sometime,0
4952,35 to 44,Male,Saskatchewan,Two household members,notask,Yes,None,Sometime,Sometime,0
4953,55 to 64,Male,Ontario,One household member,notask,Yes,None,No time,Sometime,0
4954,55 to 64,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,1
4955,25 to 34,Male,Saskatchewan,Four household members,notask,No,None,Sometime,Sometime,0
4956,35 to 44,Male,Nova Scotia,Four household members,notask,Yes,None,Sometime,No time,1
4957,75 years and over,Female,Saskatchewan,One household member,notask,No,None,No time,Sometime,1
4958,55 to 64,Male,Ontario,Two household members,notask,No,None,Sometime,Sometime,0
4959,35 to 44,Male,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
4960,65 to 74,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
4961,55 to 64,Male,Alberta,Two household members,notask,No,None,Sometime,Sometime,0
4962,25 to 34,Male,Manitoba,Five household members,notask,Yes,None,No time,Sometime,0
4963,65 to 74,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
4964,15 to 24,Male,Alberta,Four household members,notask,No,None,Sometime,Sometime,1
4965,55 to 64,Female,British Columbia,One household member,notask,No,None,No time,Sometime,0
4966,55 to 64,Female,Ontario,Two household members,notask,Yes,Yes,Sometime,Sometime,1
4967,75 years and over,Male,Alberta,Two household members,notask,Yes,None,No time,Sometime,0
4968,45 to 54,Male,Ontario,Three household members,notask,Yes,None,Sometime,Sometime,1
4969,25 to 34,Male,Prince Edward Island,Five household members,notask,Yes,None,Sometime,Sometime,1
4971,55 to 64,Male,Quebec,One household member,notask,Yes,None,Sometime,Sometime,0
4972,35 to 44,Female,Prince Edward Island,Six household members or more,notask,Yes,None,No time,No time,1
4973,15 to 24,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,1
4974,65 to 74,Female,Saskatchewan,One household member,notask,Yes,None,No time,Sometime,0
4975,45 to 54,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4976,65 to 74,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,0
4977,35 to 44,Female,New Brunswick,One household member,notask,Yes,None,No time,Sometime,1
4978,55 to 64,Female,Alberta,Two household members,notask,Yes,None,No time,Sometime,1
4979,55 to 64,Female,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
4980,65 to 74,Female,Saskatchewan,One household member,notask,No,None,Sometime,No time,0
4981,75 years and over,Female,Saskatchewan,One household member,notask,Yes,None,Sometime,Sometime,0
4982,25 to 34,Female,Ontario,Four household members,notask,Yes,None,No time,Sometime,1
4983,15 to 24,Male,Alberta,Five household members,notask,No,None,Sometime,Sometime,0
4984,25 to 34,Male,Alberta,Three household members,notask,No,None,Sometime,Sometime,1
4985,35 to 44,Male,Alberta,Four household members,notask,Yes,None,No time,No time,1
4986,15 to 24,Female,Prince Edward Island,Two household members,notask,No,None,No time,Sometime,1
4987,55 to 64,Female,Alberta,One household member,notask,Yes,None,No time,Sometime,1
4988,15 to 24,Male,Manitoba,Three household members,asked,No,None,Sometime,Sometime,1
4989,55 to 64,Male,Alberta,Three household members,notask,Yes,None,Sometime,Sometime,0
4990,65 to 74,Male,Alberta,Three household members,notask,No,None,No time,Sometime,0
4991,35 to 44,Female,Nova Scotia,Two household members,notask,Yes,None,No time,Sometime,1
4992,35 to 44,Male,Quebec,Three household members,notask,Yes,None,Sometime,Sometime,1
4993,25 to 34,Female,Newfoundland and Labrador,Three household members,notask,Yes,None,Sometime,Sometime,1
4994,55 to 64,Male,Manitoba,Two household members,notask,Yes,None,No time,Sometime,1
4996,65 to 74,Male,New Brunswick,One household member,notask,Yes,None,Sometime,Sometime,1
4997,75 years and over,Female,British Columbia,One household member,notask,No,None,No time,Sometime,0
4998,45 to 54,Female,Alberta,Two household members,notask,Yes,None,No time,No time,1
4999,35 to 44,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,1
5000,55 to 64,Female,British Columbia,Two household members,notask,Yes,None,Sometime,Sometime,1
5001,75 years and over,Male,Ontario,Three household members,notask,Yes,None,No time,Sometime,1
5002,25 to 34,Female,Ontario,Five household members,notask,Yes,None,Sometime,Sometime,1
5003,25 to 34,Male,Ontario,Six household members or more,notask,Yes,None,Sometime,Sometime,1
5004,35 to 44,Female,Newfoundland and Labrador,Five household members,notask,No,None,No time,Sometime,1
5005,55 to 64,Female,British Columbia,Two household members,notask,No,None,Sometime,Sometime,0
5006,65 to 74,Female,British Columbia,Two household members,notask,No,None,No time,Sometime,0
5007,25 to 34,Male,British Columbia,Two household members,notask,Yes,None,No time,Sometime,0
5008,65 to 74,Male,Quebec,Two household members,notask,No,None,Sometime,Sometime,1
5009,45 to 54,Female,British Columbia,Three household members,notask,Yes,None,Sometime,Sometime,0
5010,15 to 24,Female,Quebec,Two household members,notask,Yes,None,No time,Sometime,1
5011,65 to 74,Female,Quebec,One household member,notask,No,None,No time,Sometime,0
5012,35 to 44,Male,New Brunswick,Four household members,notask,Yes,Yes,No time,Sometime,1
5013,55 to 64,Male,Quebec,Two household members,notask,Yes,None,No time,Sometime,0
5014,75 years and over,Male,Alberta,One household member,notask,Yes,None,Sometime,Sometime,0
5015,75 years and over,Female,Nova Scotia,Two household members,notask,No,None,No time,Sometime,1
5016,35 to 44,Female,British Columbia,Four household members,notask,Yes,None,Sometime,Sometime,1
5017,55 to 64,Male,Nova Scotia,One household member,notask,No,None,No time,No time,0
5018,45 to 54,Male,Manitoba,Two household members,notask,Yes,None,Sometime,Sometime,0
5019,25 to 34,Female,British Columbia,Four household members,notask,Yes,None,No time,No time,1
5020,45 to 54,Female,Alberta,One household member,notask,Yes,None,No time,No time,1
5021,45 to 54,Male,Ontario,One household member,notask,Yes,None,No time,No time,1
5022,75 years and over,Male,Ontario,One household member,notask,No,None,Sometime,Sometime,0
5023,45 to 54,Male,Ontario,One household member,notask,Yes,None,No time,Sometime,1
5024,35 to 44,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,1
5025,45 to 54,Male,Quebec,Four household members,asked,Yes,None,No time,Sometime,0
5026,25 to 34,Female,Ontario,Two household members,notask,No,None,No time,Sometime,1
5027,35 to 44,Female,Ontario,One household member,notask,Yes,None,Sometime,Sometime,1
5028,75 years and over,Female,Ontario,Three household members,notask,No,None,No time,Sometime,1
5029,55 to 64,Male,Manitoba,Two household members,notask,No,None,Sometime,Sometime,1
5030,65 to 74,Male,Ontario,Two household members,notask,Yes,None,Sometime,Sometime,0
5031,45 to 54,Female,British Columbia,One household member,notask,Yes,Yes,Sometime,No time,0
5032,75 years and over,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
5033,45 to 54,Female,Alberta,Two household members,notask,No,None,No time,No time,0
5034,45 to 54,Female,Ontario,Four household members,notask,Yes,None,No time,No time,1
5035,55 to 64,Female,Ontario,Two household members,notask,No,None,Sometime,Sometime,1
5036,65 to 74,Male,Ontario,Two household members,notask,No,None,No time,Sometime,0
5037,45 to 54,Female,Quebec,Three household members,notask,Yes,None,No time,Sometime,0
5038,15 to 24,Female,Prince Edward Island,Three household members,notask,Yes,None,No time,Sometime,1
5039,55 to 64,Female,Alberta,One household member,notask,Yes,None,Sometime,Sometime,0
5040,45 to 54,Female,Manitoba,Four household members,notask,Yes,Yes,Sometime,No time,1
5041,65 to 74,Male,Quebec,Two household members,notask,No,None,Sometime,Sometime,0
5042,35 to 44,Female,Manitoba,Three household members,notask,Yes,None,Sometime,No time,1
5043,55 to 64,Female,Ontario,Four household members,notask,No,None,No time,Sometime,1
5044,35 to 44,Male,British Columbia,Four household members,notask,Yes,None,No time,Sometime,1
